Position,points,name,challenge
11,4077,WestinSOC,"{'challenge_name': ['VenomSnake', 'pottsorken', 'hotshot', 'Tok1', 'Driver', 'jvngl3', 'CozyBear', 'Glennster2000', 'användarman', 'Klumpfiskare', 'binwalker', 'cNux', 'NeovIM', 'Frågeformulär', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Intern 2', 'Långtidsminne', 'KrEncyclopedia', 'Buggigt', 'Fillagringstjänst', 'Hönan och Ägget', 'XML-kontroll', 'Robotfilter', 'Packman', 'Protokollkoll', 'Golf-SM', 'KaKlickare', 'HittaHit 2', 'HittaHit 1'], 'challenge_category': ['Övriga', 'Övriga', 'Övriga', 'OSINT', 'Forensik', 'Kryptografi', 'Övriga', 'Webb', 'Övriga', 'Webb', 'Webb', 'Reversering', 'Forensik', 'Exploatering', 'Webb', 'OSINT', 'OSINT'], 'challenge_points': ['489', '50', '497', '425', '338', '111', '432', '152', '168', '50', '286', '383', '496', '50', '50', '50', '50'], 'solve_time': ['2024-11-16T18:34:23.767093Z', '2024-11-16T17:19:26.605351Z', '2024-11-16T17:08:13.094905Z', '2024-11-16T16:33:19.284656Z', '2024-11-16T15:53:57.664272Z', '2024-11-16T15:44:54.290931Z', '2024-11-16T15:25:06.941091Z', '2024-11-16T15:00:41.097265Z', '2024-11-16T14:31:41.064736Z', '2024-11-16T14:23:47.711759Z', '2024-11-16T14:20:06.985382Z', '2024-11-16T14:03:19.631348Z', '2024-11-16T14:01:13.648523Z', '2024-11-16T13:44:40.600648Z', '2024-11-16T13:30:56.398672Z', '2024-11-16T13:26:47.177418Z', '2024-11-16T13:17:10.779423Z']}"
12,4021,Sylog,"{'challenge_name': ['bobosv', 'M&M', 'Sylog_Fredrik', 'MajorCos', 'kraken', 'William Giraldo', 'kaptenstofil', 'mp4-13', 'Kr0na', 'Dyr-El', 'Lino Bossio', 'droren74', 'bender', 'Robban', 'ctf8319', 'Juppe', 'tbrodd', 'Leffe', 'Teary', 'Klappa', 'Note', 'Packman', 'Extraterrestriell Kommunikation', 'Långtidsminne', 'Robotfilter', 'Red teaming?', 'Frågeformulär', 'KrEncyclopedia', 'Sök', 'Intern 2', 'Fillagringstjänst', 'Hönan och Ägget', 'XML-kontroll', 'HittaHit 2', 'HittaHit 1', 'KaKlickare', 'Golf-SM'], 'challenge_category': ['Exploatering', 'Reversering', 'Reversering', 'Forensik', 'Webb', 'Forensik', 'Övriga', 'Kryptografi', 'Webb', 'OSINT', 'Webb', 'Övriga', 'Webb', 'OSINT', 'OSINT', 'Webb', 'Exploatering'], 'challenge_points': ['470', '383', '492', '338', '286', '475', '50', '111', '421', '425', '152', '168', '50', '50', '50', '50', '50'], 'solve_time': ['2024-11-16T20:51:42.534485Z', '2024-11-16T20:05:14.135107Z', '2024-11-16T20:03:10.675656Z', '2024-11-16T19:30:54.898915Z', '2024-11-16T19:15:24.244797Z', '2024-11-16T19:05:00.590815Z', '2024-11-16T17:03:05.612076Z', '2024-11-16T16:00:58.608342Z', '2024-11-16T15:09:27.174245Z', '2024-11-16T15:07:54.535451Z', '2024-11-16T14:14:09.643231Z', '2024-11-16T13:56:23.137500Z', '2024-11-16T13:36:35.032292Z', '2024-11-16T13:31:47.995857Z', '2024-11-16T13:17:21.649064Z', '2024-11-16T13:16:22.453851Z', '2024-11-16T13:06:35.175724Z']}"
13,3983,teapp,"{'challenge_name': ['evip', 'araaki', 'hikari', 'Kikyo Nanakusa', 'karinto', 'KrEncyclopedia', 'Frågeformulär', 'Långtidsminne', 'Sök', 'Intern 2', 'Buggigt', 'Note', 'HittaHit 2', 'Golf-SM', 'Fillagringstjänst', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Robotfilter', 'Hönan och Ägget', 'Packman', 'HittaHit 1', 'XML-kontroll', 'KaKlickare'], 'challenge_category': ['Kryptografi', 'Övriga', 'Forensik', 'Webb', 'OSINT', 'Övriga', 'Exploatering', 'OSINT', 'Exploatering', 'Webb', 'Övriga', 'Webb', 'Övriga', 'Reversering', 'OSINT', 'Webb', 'Webb'], 'challenge_points': ['111', '50', '338', '421', '425', '432', '470', '50', '50', '152', '497', '286', '168', '383', '50', '50', '50'], 'solve_time': ['2024-11-16T18:32:55.572130Z', '2024-11-16T18:11:45.816519Z', '2024-11-16T18:06:39.214084Z', '2024-11-16T16:39:35.328479Z', '2024-11-16T16:36:16.869243Z', '2024-11-16T16:26:22.622637Z', '2024-11-16T16:02:37.470707Z', '2024-11-16T15:23:53.605874Z', '2024-11-16T14:28:55.989272Z', '2024-11-16T14:26:29.132951Z', '2024-11-16T14:25:44.519627Z', '2024-11-16T14:19:50.499826Z', '2024-11-16T14:13:55.137371Z', '2024-11-16T13:59:04.366820Z', '2024-11-16T13:48:32.740946Z', '2024-11-16T13:28:04.019523Z', '2024-11-16T13:21:25.624715Z']}"
14,3975,Links,"{'challenge_name': ['eKing', 'Jerra94', 'oslu', 'catears', 'Jinkan', 'silenz', 'Note', 'Buggigt', 'Skyltsmedjan', 'Frågeformulär', 'KrEncyclopedia', 'Långtidsminne', 'Packman', 'Hönan och Ägget', 'Intern 2', 'Sök', 'Golf-SM', 'HittaHit 2', 'HittaHit 1', 'Fillagringstjänst', 'Robotfilter', 'KaKlickare', 'XML-kontroll'], 'challenge_category': ['Exploatering', 'Övriga', 'Kryptografi', 'Övriga', 'Kryptografi', 'Forensik', 'Reversering', 'Övriga', 'OSINT', 'Webb', 'Exploatering', 'OSINT', 'OSINT', 'Webb', 'Webb', 'Webb', 'Webb'], 'challenge_points': ['470', '432', '489', '50', '111', '338', '383', '168', '425', '421', '50', '50', '50', '152', '286', '50', '50'], 'solve_time': ['2024-11-16T20:09:13.305299Z', '2024-11-16T20:05:05.604824Z', '2024-11-16T19:35:01.842319Z', '2024-11-16T18:21:26.855756Z', '2024-11-16T17:37:43.787643Z', '2024-11-16T16:50:54.605268Z', '2024-11-16T16:27:34.141851Z', '2024-11-16T15:26:54.260663Z', '2024-11-16T14:53:23.071960Z', '2024-11-16T14:33:49.155888Z', '2024-11-16T14:29:40.139416Z', '2024-11-16T13:43:38.202917Z', '2024-11-16T13:38:52.717622Z', '2024-11-16T13:31:40.633015Z', '2024-11-16T13:28:34.272324Z', '2024-11-16T13:10:54.641750Z', '2024-11-16T13:08:13.736854Z']}"
15,3890,Kauotic Hacking Club,"{'challenge_name': ['KaffeKod', 'Athaw', 'Arcnilya', 'jonte24680', 'Trixai', 'Baouta', 'Fetafisken', 'Hajto0', 'coffeeforthepoor', 'Trippet', 'MILANO_ITALIA_333', 'Albie', 'baddare', 'Forcalon', 'Maroko1218', 'KrEncyclopedia', 'Packman', 'Frågeformulär', 'Skyltsmedjan', 'Fillagringstjänst', 'Red teaming?', 'Sök', 'Note', 'NeovIM', 'Buggigt', 'HittaHit 2', 'XML-kontroll', 'HittaHit 1', 'Golf-SM', 'Hönan och Ägget', 'KaKlickare'], 'challenge_category': ['Kryptografi', 'Reversering', 'Övriga', 'Kryptografi', 'Webb', 'Forensik', 'Webb', 'Exploatering', 'Övriga', 'Övriga', 'OSINT', 'Webb', 'OSINT', 'Exploatering', 'Övriga', 'Webb'], 'challenge_points': ['111', '383', '50', '489', '152', '475', '421', '470', '489', '432', '50', '50', '50', '50', '168', '50'], 'solve_time': ['2024-11-16T19:11:32.035864Z', '2024-11-16T17:55:51.727608Z', '2024-11-16T17:05:45.393572Z', '2024-11-16T15:05:04.471860Z', '2024-11-16T14:56:20.835650Z', '2024-11-16T14:38:15.736584Z', '2024-11-16T14:34:04.264457Z', '2024-11-16T14:31:29.153550Z', '2024-11-16T14:23:13.131492Z', '2024-11-16T14:07:46.016939Z', '2024-11-16T13:43:44.865295Z', '2024-11-16T13:39:00.327242Z', '2024-11-16T13:23:13.641812Z', '2024-11-16T13:20:29.771778Z', '2024-11-16T13:15:19.790661Z', '2024-11-16T13:11:07.037218Z']}"
16,3692,entitysec,"{'challenge_name': ['landstrom', 'tomas0', 'xenon', 'AngelD', 'pangolin', 'Taserface', 'leafer', 'sp33dy', 'Note', 'Extraterrestriell Kommunikation', 'Intern 2', 'Buggigt', 'Hönan och Ägget', 'Sök', 'Frågeformulär', 'Packman', 'KrEncyclopedia', 'Fillagringstjänst', 'HittaHit 2', 'Långtidsminne', 'KaKlickare', 'HittaHit 1', 'XML-kontroll', 'Golf-SM'], 'challenge_category': ['Exploatering', 'Reversering', 'OSINT', 'Övriga', 'Övriga', 'Webb', 'Övriga', 'Reversering', 'Kryptografi', 'Webb', 'OSINT', 'Forensik', 'Webb', 'OSINT', 'Webb', 'Exploatering'], 'challenge_points': ['470', '492', '425', '432', '168', '421', '50', '383', '111', '152', '50', '338', '50', '50', '50', '50'], 'solve_time': ['2024-11-16T20:27:50.956127Z', '2024-11-16T20:11:22.986787Z', '2024-11-16T19:48:02.184412Z', '2024-11-16T19:18:12.174313Z', '2024-11-16T18:19:15.898241Z', '2024-11-16T18:14:45.721976Z', '2024-11-16T17:31:32.829610Z', '2024-11-16T17:21:58.628744Z', '2024-11-16T15:36:17.971985Z', '2024-11-16T14:42:56.454036Z', '2024-11-16T14:31:19.894631Z', '2024-11-16T13:47:59.973665Z', '2024-11-16T13:43:30.176776Z', '2024-11-16T13:38:21.828848Z', '2024-11-16T13:30:43.321021Z', '2024-11-16T13:19:36.146709Z']}"
17,3578,FRO,"{'challenge_name': ['0xic3', 'emma', 'TX-55', 'viktor', 'msa', 'sa0bxi', 'Xionaba', '0x414b4c', 'MonkieDLuffy', 'svit1ana', 'eruanno', 'GhostBuster100', 'jakub', 'Excession', 'JohanE', 'Alketa', 'Neud', 'Okechukwu', 'semir.123', 'antele', 'Note', 'Red teaming?', 'Intern 2', 'Långtidsminne', 'Robotfilter', 'Hönan och Ägget', 'Frågeformulär', 'Golf-SM', 'Buggigt', 'Sök', 'Fillagringstjänst', 'HittaHit 2', 'KrEncyclopedia', 'HittaHit 1', 'KaKlickare', 'XML-kontroll'], 'challenge_category': ['Exploatering', 'Forensik', 'OSINT', 'Forensik', 'Webb', 'Övriga', 'Övriga', 'Exploatering', 'Övriga', 'Webb', 'Webb', 'OSINT', 'Kryptografi', 'OSINT', 'Webb', 'Webb'], 'challenge_points': ['470', '475', '425', '338', '286', '168', '50', '50', '432', '421', '152', '50', '111', '50', '50', '50'], 'solve_time': ['2024-11-16T20:16:55.297516Z', '2024-11-16T19:24:43.976839Z', '2024-11-16T18:44:53.921443Z', '2024-11-16T18:26:14.818049Z', '2024-11-16T17:35:06.518667Z', '2024-11-16T17:26:38.122466Z', '2024-11-16T17:11:38.348902Z', '2024-11-16T16:04:00.663718Z', '2024-11-16T15:54:26.720426Z', '2024-11-16T15:06:40.978709Z', '2024-11-16T14:45:44.747863Z', '2024-11-16T14:32:36.590691Z', '2024-11-16T14:22:10.249331Z', '2024-11-16T14:12:51.402250Z', '2024-11-16T13:13:22.668623Z', '2024-11-16T13:05:36.314506Z']}"
18,3578,Lantmäteriet,"{'challenge_name': ['KurtTheRipper', 'QuantumSquirrel', 'RunnTime', 'rickard', 'BruteForceDidrik', 'GingerbeardMan', 'clueless', 'martinberg', 'Red teaming?', 'Sök', 'Långtidsminne', 'Frågeformulär', 'Intern 2', 'Note', 'Buggigt', 'KrEncyclopedia', 'Hönan och Ägget', 'Fillagringstjänst', 'HittaHit 2', 'HittaHit 1', 'KaKlickare', 'XML-kontroll', 'Robotfilter', 'Golf-SM'], 'challenge_category': ['Forensik', 'Webb', 'Forensik', 'Övriga', 'OSINT', 'Exploatering', 'Övriga', 'Kryptografi', 'Övriga', 'Webb', 'OSINT', 'OSINT', 'Webb', 'Webb', 'Webb', 'Exploatering'], 'challenge_points': ['475', '421', '338', '50', '425', '470', '432', '111', '168', '152', '50', '50', '50', '50', '286', '50'], 'solve_time': ['2024-11-16T20:39:27.519759Z', '2024-11-16T19:07:16.178429Z', '2024-11-16T18:28:02.482035Z', '2024-11-16T17:46:05.824325Z', '2024-11-16T17:41:16.768182Z', '2024-11-16T17:18:02.694574Z', '2024-11-16T15:45:02.161150Z', '2024-11-16T15:33:47.758503Z', '2024-11-16T15:09:36.624624Z', '2024-11-16T14:10:37.257339Z', '2024-11-16T14:07:48.642142Z', '2024-11-16T14:00:29.525388Z', '2024-11-16T13:53:46.033118Z', '2024-11-16T13:49:33.984734Z', '2024-11-16T13:43:29.486769Z', '2024-11-16T13:18:04.039842Z']}"
19,3519,J'hack Paul vs M'hack Tyson,"{'challenge_name': ['DarkInfern010', 'Jason Sretham', 'Melok', 'Loukos', 'jcapteR', 'Kassaskåpet 2 - ""Bättre tur än skicklighet""', 'Extraterrestriell Kommunikation', 'Fillagringstjänst', 'Långtidsminne', 'Red teaming?', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'Packman', 'Sök', 'KrEncyclopedia', 'HittaHit 1', 'XML-kontroll', 'KaKlickare'], 'challenge_category': ['Kryptografi', 'Reversering', 'Webb', 'Forensik', 'Forensik', 'Övriga', 'Reversering', 'Webb', 'Kryptografi', 'OSINT', 'Webb', 'Webb'], 'challenge_points': ['500', '492', '152', '338', '475', '497', '383', '421', '111', '50', '50', '50'], 'solve_time': ['2024-11-16T19:01:02.573564Z', '2024-11-16T17:54:25.661540Z', '2024-11-16T17:34:02.445441Z', '2024-11-16T17:29:50.220946Z', '2024-11-16T16:57:27.049516Z', '2024-11-16T15:31:37.692646Z', '2024-11-16T14:46:48.032241Z', '2024-11-16T14:40:35.694409Z', '2024-11-16T14:02:38.406893Z', '2024-11-16T13:51:15.656717Z', '2024-11-16T13:03:29.908774Z', '2024-11-16T13:02:16.795527Z']}"
20,3407,HackingTeam5,"{'challenge_name': ['notzzz', 'Fillagringstjänst', 'KaKlickare', 'XML-kontroll', 'Note', 'Zebran, Koordinaterna och Piraterna', 'Frågeformulär', 'Packman', 'Buggigt', 'Hönan och Ägget', 'KrEncyclopedia', 'Riscy Business 1', 'Heapie', 'Golf-SM'], 'challenge_category': ['Webb', 'Webb', 'Webb', 'Exploatering', 'Kryptografi', 'Övriga', 'Reversering', 'Övriga', 'Övriga', 'Kryptografi', 'Exploatering', 'Exploatering', 'Exploatering'], 'challenge_points': ['152', '50', '50', '470', '496', '50', '383', '432', '168', '111', '495', '500', '50'], 'solve_time': ['2024-11-16T20:21:12.581715Z', '2024-11-16T19:39:16.813191Z', '2024-11-16T19:35:47.939752Z', '2024-11-16T19:18:57.844471Z', '2024-11-16T18:47:30.655904Z', '2024-11-16T17:41:55.833142Z', '2024-11-16T17:38:47.542791Z', '2024-11-16T17:11:30.495261Z', '2024-11-16T16:10:21.173780Z', '2024-11-16T16:02:53.635083Z', '2024-11-16T15:07:20.915250Z', '2024-11-16T14:45:11.058547Z', '2024-11-16T13:38:57.631309Z']}"
21,3167,strfry(3),"{'challenge_name': ['g', 'monoamine11231', 'misch-max', 'Ante0417', 'charles-ponzi', 'AlexJernstrom', 'Intern 2', 'Sök', 'Robotfilter', 'KrEncyclopedia', 'Frågeformulär', 'Buggigt', 'Fillagringstjänst', 'Hönan och Ägget', 'Skyltsmedjan', 'XML-kontroll', 'HittaHit 2', 'Packman', 'HittaHit 1', 'KaKlickare', 'Golf-SM'], 'challenge_category': ['OSINT', 'Webb', 'Webb', 'Kryptografi', 'Övriga', 'Övriga', 'Webb', 'Övriga', 'Kryptografi', 'Webb', 'OSINT', 'Reversering', 'OSINT', 'Webb', 'Exploatering'], 'challenge_points': ['425', '421', '286', '111', '50', '432', '152', '168', '489', '50', '50', '383', '50', '50', '50'], 'solve_time': ['2024-11-16T20:21:29.541301Z', '2024-11-16T17:59:46.524294Z', '2024-11-16T17:45:28.008598Z', '2024-11-16T17:26:22.242041Z', '2024-11-16T17:07:40.447328Z', '2024-11-16T16:54:00.590938Z', '2024-11-16T16:05:52.446330Z', '2024-11-16T16:04:48.115045Z', '2024-11-16T15:52:52.309942Z', '2024-11-16T15:33:23.178324Z', '2024-11-16T14:51:55.364212Z', '2024-11-16T14:32:34.119412Z', '2024-11-16T14:05:01.215013Z', '2024-11-16T13:49:30.835341Z', '2024-11-16T13:34:26.494039Z']}"
22,3164,ASIS,"{'challenge_name': ['factoreal', 'faro', 'eltrix', 'marzhanoiid', 'c4mel82theGame', 'LazyOracle', 'Långtidsminne', 'Buggigt', 'Frågeformulär', 'Golf-SM', 'Zebran, Koordinaterna och Piraterna', 'HittaHit 1', 'Packman', 'KrEncyclopedia', 'Skyltsmedjan', 'Kassaskåpet 1 - ""Den Berömda Bosse""', 'XML-kontroll', 'KaKlickare', 'Hönan och Ägget'], 'challenge_category': ['Forensik', 'Övriga', 'Övriga', 'Exploatering', 'Kryptografi', 'OSINT', 'Reversering', 'Kryptografi', 'Kryptografi', 'Övriga', 'Webb', 'Webb', 'Övriga'], 'challenge_points': ['338', '432', '50', '50', '496', '50', '383', '111', '489', '497', '50', '50', '168'], 'solve_time': ['2024-11-16T19:51:36.558471Z', '2024-11-16T19:27:33.218105Z', '2024-11-16T18:09:48.971618Z', '2024-11-16T17:33:40.542393Z', '2024-11-16T17:22:07.196635Z', '2024-11-16T15:30:41.427939Z', '2024-11-16T15:18:05.915460Z', '2024-11-16T14:46:17.699843Z', '2024-11-16T14:39:04.730130Z', '2024-11-16T14:23:43.661778Z', '2024-11-16T14:19:56.427212Z', '2024-11-16T13:53:00.324079Z', '2024-11-16T13:06:41.047595Z']}"
23,3124,pwnJU,"{'challenge_name': ['hawkins2.0', 'epicmika', 'PitViper', 'Tompa', 'Seebus', 'Carrotcake', 'FiftyNinez', 'kakan', 'Spoilmaster', 'Nisse', 'PotatisGrate', 'pwndOlofPalme', 'Sacred', 'Wille', 'basic', 'Hackerdd', 'Tjock_Johannes', 'BJ0RK', 'nille', 'luddefranck', 'panicCh', 'Note', 'Sök', 'KrEncyclopedia', 'Packman', 'Frågeformulär', 'Riscy Business 1', 'Långtidsminne', 'Hönan och Ägget', 'HittaHit 2', 'Golf-SM', 'Fillagringstjänst', 'XML-kontroll', 'Robotfilter', 'KaKlickare', 'HittaHit 1'], 'challenge_category': ['Exploatering', 'Webb', 'Kryptografi', 'Reversering', 'Övriga', 'Exploatering', 'Forensik', 'Övriga', 'OSINT', 'Exploatering', 'Webb', 'Webb', 'Webb', 'Webb', 'OSINT'], 'challenge_points': ['470', '421', '111', '383', '50', '495', '338', '168', '50', '50', '152', '50', '286', '50', '50'], 'solve_time': ['2024-11-16T20:22:24.277712Z', '2024-11-16T20:07:34.438072Z', '2024-11-16T19:37:40.902250Z', '2024-11-16T19:22:30.208361Z', '2024-11-16T17:15:53.693475Z', '2024-11-16T17:07:04.134890Z', '2024-11-16T14:42:26.397073Z', '2024-11-16T13:36:53.393525Z', '2024-11-16T13:31:13.102550Z', '2024-11-16T13:30:39.271067Z', '2024-11-16T13:23:27.027237Z', '2024-11-16T13:21:05.807450Z', '2024-11-16T13:13:48.266968Z', '2024-11-16T13:08:23.169998Z', '2024-11-16T13:06:22.134203Z']}"
24,3059,n00bz,"{'challenge_name': ['kza', 'rooT', 'Red teaming?', 'KrEncyclopedia', 'Fillagringstjänst', 'Frågeformulär', 'Hönan och Ägget', 'Långtidsminne', 'Packman', 'Golf-SM', 'Intern 2', 'HittaHit 2', 'HittaHit 1', 'Sök', 'KaKlickare', 'XML-kontroll', 'Robotfilter'], 'challenge_category': ['Forensik', 'Kryptografi', 'Webb', 'Övriga', 'Övriga', 'Forensik', 'Reversering', 'Exploatering', 'OSINT', 'OSINT', 'OSINT', 'Webb', 'Webb', 'Webb', 'Webb'], 'challenge_points': ['475', '111', '152', '50', '168', '338', '383', '50', '425', '50', '50', '421', '50', '50', '286'], 'solve_time': ['2024-11-16T20:57:22.813787Z', '2024-11-16T19:43:50.033598Z', '2024-11-16T19:25:48.783659Z', '2024-11-16T17:53:58.029509Z', '2024-11-16T16:32:21.050144Z', '2024-11-16T16:07:22.962621Z', '2024-11-16T15:58:33.095638Z', '2024-11-16T15:36:27.787545Z', '2024-11-16T15:26:10.571070Z', '2024-11-16T15:10:24.042125Z', '2024-11-16T15:01:23.873090Z', '2024-11-16T14:54:58.663316Z', '2024-11-16T13:33:01.498287Z', '2024-11-16T13:25:26.123955Z', '2024-11-16T13:21:59.434917Z']}"
25,2959,Bilprovningen,"{'challenge_name': ['v4s4', 'Salamander', 'lingonsylt', 'Intern 2', 'Red teaming?', 'Packman', 'Långtidsminne', 'Frågeformulär', 'Buggigt', 'Hönan och Ägget', 'Robotfilter', 'XML-kontroll', 'Fillagringstjänst', 'HittaHit 2', 'HittaHit 1', 'Golf-SM', 'KaKlickare'], 'challenge_category': ['OSINT', 'Forensik', 'Reversering', 'Forensik', 'Övriga', 'Övriga', 'Övriga', 'Webb', 'Webb', 'Webb', 'OSINT', 'OSINT', 'Exploatering', 'Webb'], 'challenge_points': ['425', '475', '383', '338', '50', '432', '168', '286', '50', '152', '50', '50', '50', '50'], 'solve_time': ['2024-11-16T20:35:29.473449Z', '2024-11-16T19:17:05.375149Z', '2024-11-16T18:46:30.287942Z', '2024-11-16T17:43:08.997233Z', '2024-11-16T17:42:07.311819Z', '2024-11-16T17:38:27.634529Z', '2024-11-16T16:05:10.289904Z', '2024-11-16T15:26:05.868844Z', '2024-11-16T15:09:55.460177Z', '2024-11-16T13:47:00.276814Z', '2024-11-16T13:29:22.755557Z', '2024-11-16T13:23:25.294330Z', '2024-11-16T13:09:30.892845Z', '2024-11-16T13:05:23.088881Z']}"
26,2918,makerspace,"{'challenge_name': ['ygram', 'Znaap', 'emaus', 'minigubben', 'Daniel', 'DanielB', 'blole', 'KrEncyclopedia', 'Frågeformulär', 'Hönan och Ägget', 'Fillagringstjänst', 'NeovIM', 'Sök', 'Buggigt', 'Note', 'HittaHit 2', 'HittaHit 1', 'Golf-SM', 'Intern 2', 'KaKlickare'], 'challenge_category': ['Kryptografi', 'Övriga', 'Övriga', 'Webb', 'Övriga', 'Webb', 'Övriga', 'Exploatering', 'OSINT', 'OSINT', 'Exploatering', 'OSINT', 'Webb'], 'challenge_points': ['111', '50', '168', '152', '489', '421', '432', '470', '50', '50', '50', '425', '50'], 'solve_time': ['2024-11-16T19:46:15.025550Z', '2024-11-16T18:36:27.877372Z', '2024-11-16T17:10:44.455606Z', '2024-11-16T16:15:09.173599Z', '2024-11-16T16:06:21.013275Z', '2024-11-16T15:14:23.627298Z', '2024-11-16T14:44:32.179831Z', '2024-11-16T14:17:26.281560Z', '2024-11-16T14:07:18.627318Z', '2024-11-16T13:55:16.562954Z', '2024-11-16T13:48:08.969217Z', '2024-11-16T13:46:49.705477Z', '2024-11-16T13:26:19.743903Z']}"
27,2849,Kernel_Sanders,"{'challenge_name': ['CollinW', 'purpletomato4', 'Stiyaha', 'sraber1', 'Coral', 'Exla', '9nruza7et', 'dgruen', 'Zach', 'TeaIsHot28', 'AnthonySCrowe', 'rsdkd', 'Astro3', 'siaslas', 'aiden', 'jonathan_jones1', 'mankey', 'Battlestarch', 'DDos27', 'Thulium', 'ctf-crate', 'enojom', 'akhilkancherla', 'FloorMatt', 'ethanbenc', 'ram', 'cv', 'WalterAS4', 'Kernel_Sanders', 'fablefox', 'jaeakle', 'tylerwescott', 'Nate Clarke', 'J_SwizzleDizzle', 'OscarDiaz', 'st.hakimov', 'eklenicki', 'jweiberg', 'boopbapbop', 'aiden.zepp', 'ravenmags', 'kamilc', 'Habperez', 'tai.tran', 'jverma', 'sofiacelesrtin', 'rzop', 'Långtidsminne', 'Riscy Business 1', 'Note', 'Buggigt', 'Fillagringstjänst', 'Packman', 'Frågeformulär', 'Hönan och Ägget', 'KrEncyclopedia', 'HittaHit 2', 'Golf-SM', 'HittaHit 1', 'KaKlickare', 'XML-kontroll'], 'challenge_category': ['Forensik', 'Exploatering', 'Exploatering', 'Övriga', 'Webb', 'Reversering', 'Övriga', 'Övriga', 'Kryptografi', 'OSINT', 'Exploatering', 'OSINT', 'Webb', 'Webb'], 'challenge_points': ['338', '495', '470', '432', '152', '383', '50', '168', '111', '50', '50', '50', '50', '50'], 'solve_time': ['2024-11-16T20:06:41.957937Z', '2024-11-16T19:35:45.623048Z', '2024-11-16T19:15:26.937322Z', '2024-11-16T18:53:17.490431Z', '2024-11-16T18:50:03.495546Z', '2024-11-16T18:25:38.620499Z', '2024-11-16T18:25:35.387329Z', '2024-11-16T17:43:08.481118Z', '2024-11-16T17:33:27.256221Z', '2024-11-16T17:18:42.265460Z', '2024-11-16T16:42:39.759640Z', '2024-11-16T16:23:51.831825Z', '2024-11-16T16:03:30.441350Z', '2024-11-16T15:45:12.420477Z']}"
28,2802,skibidiROPchain,"{'challenge_name': ['CostcoGuy', 'mkt_maxad', 'piraten', 'Riscy Business 1', 'Buggigt', 'Frågeformulär', 'Packman', 'Fillagringstjänst', 'Red teaming?', 'Hönan och Ägget', 'KrEncyclopedia', 'HittaHit 2', 'Golf-SM', 'HittaHit 1', 'XML-kontroll', 'KaKlickare', 'Robotfilter'], 'challenge_category': ['Exploatering', 'Övriga', 'Övriga', 'Reversering', 'Webb', 'Forensik', 'Övriga', 'Kryptografi', 'OSINT', 'Exploatering', 'OSINT', 'Webb', 'Webb', 'Webb'], 'challenge_points': ['495', '432', '50', '383', '152', '475', '168', '111', '50', '50', '50', '50', '50', '286'], 'solve_time': ['2024-11-16T18:26:10.583808Z', '2024-11-16T17:16:38.317403Z', '2024-11-16T17:03:32.933206Z', '2024-11-16T17:00:20.988442Z', '2024-11-16T15:57:45.795613Z', '2024-11-16T14:48:51.623951Z', '2024-11-16T14:20:07.066416Z', '2024-11-16T13:49:01.985089Z', '2024-11-16T13:35:08.580596Z', '2024-11-16T13:28:34.923117Z', '2024-11-16T13:21:29.086740Z', '2024-11-16T13:16:05.469627Z', '2024-11-16T13:15:10.002354Z', '2024-11-16T13:07:12.101655Z']}"
29,2758,Excidenture,"{'challenge_name': ['Excidenture', 'pafo', 'cobolhampe', 'Killedkenny', 'Frågeformulär', 'Robotfilter', 'Red teaming?', 'Intern 2', 'Note', 'HittaHit 2', 'Fillagringstjänst', 'KrEncyclopedia', 'HittaHit 1', 'Sök', 'XML-kontroll', 'Hönan och Ägget', 'KaKlickare'], 'challenge_category': ['Övriga', 'Webb', 'Forensik', 'OSINT', 'Exploatering', 'OSINT', 'Webb', 'Kryptografi', 'OSINT', 'Webb', 'Webb', 'Övriga', 'Webb'], 'challenge_points': ['50', '286', '475', '425', '470', '50', '152', '111', '50', '421', '50', '168', '50'], 'solve_time': ['2024-11-16T20:45:34.276142Z', '2024-11-16T20:25:25.854211Z', '2024-11-16T17:14:01.961276Z', '2024-11-16T16:54:43.854341Z', '2024-11-16T16:05:04.203657Z', '2024-11-16T15:34:00.680246Z', '2024-11-16T15:24:31.453809Z', '2024-11-16T15:21:54.885873Z', '2024-11-16T15:02:32.774059Z', '2024-11-16T15:01:16.914239Z', '2024-11-16T14:45:51.489842Z', '2024-11-16T14:41:17.456844Z', '2024-11-16T14:34:31.505140Z']}"
